Cereal name,Supplier,Cold or Hot,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,rating
Special_K,K,C,110,6,0,230,1,16,3,55,25,53.131324
Strawberry_Fruit_Wheats,N,C,90,2,0,15,3,15,5,90,25,59.363993
Total_Corn_Flakes,G,C,110,2,1,200,0,21,3,35,100,38.839746
Total_Raisin_Bran,G,C,140,3,1,190,4,15,14,230,100,28.592785
Total_Whole_Grain,G,C,100,3,1,200,3,16,3,110,100,46.658844
Triples,G,C,110,2,1,250,0,21,3,60,25,39.106174
Trix,G,C,110,1,1,140,0,13,12,25,25,27.753301
Wheat_Chex,R,C,100,3,1,230,3,17,3,115,25,49.787445
Wheaties,G,C,100,3,1,200,3,17,3,110,25,51.592193
Wheaties_Honey_Gold,G,C,110,2,1,200,1,16,8,60,25,36.187559
